spec,term,coef,se,tstat,pvalue,n_obs,rsquared
M0_baseline,log_p,-1.7498147959630443,0.019768360144185346,-88.51593066902586,0.0,2582666,0.7472766994911088
M0_baseline,promo_any_int,0.4331714588235741,0.003734040389843739,116.00609891680935,0.0,2582666,0.7472766994911088
M1_with_cross,log_p,-1.7311159932152973,0.019659439529497665,-88.05520577623153,0.0,2582666,0.748164526149412
M1_with_cross,log_comp_price,0.6472091138719049,0.01684502496987846,38.421380498349876,0.0,2582666,0.748164526149412
M1_with_cross,promo_any_int,0.4274772169267153,0.003708538866901649,115.26836640217208,0.0,2582666,0.748164526149412
M2_with_same_brand,log_p,-1.7859111925435682,0.021442204804924703,-83.28953150066882,0.0,2582666,0.748372142824222
M2_with_same_brand,log_comp_price,0.7230480632068927,0.018051621029191067,40.05446724356002,0.0,2582666,0.748372142824222
M2_with_same_brand,log_p_same,0.23074566450267425,0.017834367856539406,12.938258667691759,0.0,2582666,0.748372142824222
M2_with_same_brand,promo_any_int,0.42279698894316875,0.0038247644285996025,110.54196848875512,0.0,2582666,0.748372142824222
