brand_final,size_oz_rounded,STORE,n_weeks,mean_p,mean_promo,mean_cost,baseline_q,baseline_profit,opt_price,opt_promo,opt_q,opt_profit,profit_lift_abs,profit_lift_pct,q_lift_ratio,opt_hits_upper
Kellogg's,15.0,102,357,3.025,0.331,2.55,392.336,186.674,4.301,1,284.31,497.983,311.309,166.766,0.725,True
General Mills,20.0,126,354,4.018,0.062,3.434,179.158,104.653,5.164,1,173.365,299.822,195.169,186.491,0.968,True
General Mills,12.0,102,354,2.95,0.124,2.474,199.096,94.75,3.912,1,177.736,255.477,160.727,169.633,0.893,True
Kellogg's,20.0,80,363,3.541,0.187,3.019,144.229,75.338,5.105,1,108.489,226.271,150.933,200.342,0.752,True
General Mills,14.0,126,357,3.254,0.078,2.711,156.468,85.05,4.315,1,142.406,228.524,143.474,168.693,0.91,True
Kellogg's,18.0,74,361,3.148,0.114,2.636,132.914,67.95,5.233,1,80.643,209.365,141.415,208.115,0.607,True
General Mills,18.0,126,354,3.657,0.062,3.081,121.452,69.864,5.2,1,98.659,208.986,139.122,199.132,0.812,True
Kellogg's,12.0,18,356,2.498,0.087,2.131,156.744,57.581,3.77,1,113.636,186.356,128.775,223.64,0.725,True
General Mills,15.0,126,355,3.118,0.104,2.608,142.014,72.311,4.11,1,129.161,193.895,121.584,168.14,0.909,True
Post,16.0,126,358,2.853,0.176,2.375,140.274,67.054,4.054,1,108.667,182.475,115.421,172.131,0.775,True
